1000001|01000|R|4620100|519800|Station de gonflage,Vente de gaz domestique (Butane, Propane),DAB (Distributeur automatique de billets)
1000002|01000|R|4621842|522767|Vente de gaz domestique (Butane, Propane),DAB (Distributeur automatique de billets)
1000004|01000|R|4618800|524500|Toilettes publiques,Relais colis,Boutique alimentaire,Boutique non alimentaire,Vente de fioul domestique,Station de gonflage,Carburant additivé,Location de véhicule,Piste poids lourds,Vente de gaz domestique (Butane, Propane),Vente d'additifs carburants,Automate CB 24/24,DAB (Distributeur automatique de billets)
1000005|01000|R|4620093.59235|519942.024022|Boutique alimentaire,Boutique non alimentaire,Station de gonflage,Carburant additivé,Piste poids lourds,Lavage automatique,Vente de gaz domestique (Butane, Propane),DAB (Distributeur automatique de billets)
1000006|01000|R|4620754|523758|Vente de gaz domestique (Butane, Propane)
1000007|01000|R|4622100|524500|Vente de pétrole lampant,Station de gonflage,Lavage automatique,Lavage manuel,Vente de gaz domestique (Butane, Propane),Automate CB 24/24
1000008|01000|R|4619900|524100|Toilettes publiques,Laverie,Relais colis,Boutique alimentaire,Boutique non alimentaire,Restauration à emporter,Restauration sur place,Bar,Station de gonflage,Carburant additivé,Location de véhicule,Piste poids lourds,Services réparation / entretien,Vente de gaz domestique (Butane, Propane),Bornes électriques,Vente d'additifs carburants,Wifi,Automate CB 24/24,DAB (Distributeur automatique de billets)
1000009|01000|R|4619600|522900|Laverie,Boutique alimentaire,Boutique non alimentaire,Restauration à emporter,Restauration sur place,Vente de fioul domestique,Station de gonflage,Piste poids lourds,Lavage automatique,Vente de gaz domestique (Butane, Propane),Wifi,Automate CB 24/24,DAB (Distributeur automatique de billets)
1000010|01000|R|4619851.83794|524350.637881|DAB (Distributeur automatique de billets)
1000012|01000|R|4620100|520000|Boutique alimentaire,Boutique non alimentaire,Vente de fioul domestique,Station de gonflage,Piste poids lourds,Lavage automatique,Lavage manuel,Vente de gaz domestique (Butane, Propane),Wifi,Automate CB 24/24
1000013|01000|R|4619900|524400|Carburant additivé,Automate CB 24/24
1000016|01000|R|4620516.06|522502.48|Carburant additivé,Automate CB 24/24
1090001|01090|R|4609600|477500|Automate CB 24/24,DAB (Distributeur automatique de billets)
1100001|01100|R|4628404|566282|Carburant additivé,Vente de gaz domestique (Butane, Propane),DAB (Distributeur automatique de billets)
1100002|01100|R|4625000|564400|Toilettes publiques,Laverie,Relais colis,Station de gonflage,Location de véhicule,Wifi,DAB (Distributeur automatique de billets)
1100003|01100|R|4624966|564134|Boutique alimentaire,Boutique non alimentaire,Vente de fioul domestique,Station de gonflage,Carburant additivé,Piste poids lourds,Lavage automatique,Lavage manuel,Services réparation / entretien,DAB (Distributeur automatique de billets)
1100004|01100|R|4627200|566000|Toilettes publiques,Relais colis,Boutique alimentaire,Restauration à emporter,Station de gonflage,Carburant additivé,Vente de gaz domestique (Butane, Propane),Automate CB 24/24
1100006|01100|R|4626200|564800|Toilettes publiques,Relais colis,Boutique alimentaire,Boutique non alimentaire,Restauration sur place,Bar,Vente de gaz domestique (Butane, Propane),DAB (Distributeur automatique de billets)
1100007|01100|R|4625000|564100|Boutique alimentaire,Boutique non alimentaire,Station de gonflage,Carburant additivé,Piste poids lourds,Lavage automatique,Lavage manuel,Vente de gaz domestique (Butane, Propane),Vente d'additifs carburants
1100008|01100|R|4626700|565500|Relais colis,Piste poids lourds,Bornes électriques
1100009|01100|R|4625300|564600|Station de gonflage,Carburant additivé,Automate CB 24/24
1110001|01110|R|4597800|559900|Location de véhicule,Vente de gaz domestique (Butane, Propane)
